[2025-03-27T12:23:42.625+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-27T12:23:42.649+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_dag.add_payloads_to_table manual__2025-03-27T12:23:03.217034+00:00 [queued]>
[2025-03-27T12:23:42.662+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_dag.add_payloads_to_table manual__2025-03-27T12:23:03.217034+00:00 [queued]>
[2025-03-27T12:23:42.663+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-27T12:23:42.682+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): add_payloads_to_table> on 2025-03-27 12:23:03.217034+00:00
[2025-03-27T12:23:42.691+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=696) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-27T12:23:42.693+0000] {standard_task_runner.py:72} INFO - Started process 698 to run task
[2025-03-27T12:23:42.693+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'my_dag', 'add_payloads_to_table', 'manual__2025-03-27T12:23:03.217034+00:00', '--job-id', '83', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmpk3y4k39d']
[2025-03-27T12:23:42.694+0000] {standard_task_runner.py:105} INFO - Job 83: Subtask add_payloads_to_table
[2025-03-27T12:23:42.953+0000] {task_command.py:467} INFO - Running <TaskInstance: my_dag.add_payloads_to_table manual__2025-03-27T12:23:03.217034+00:00 [running]> on host 2753c0b03e32
[2025-03-27T12:23:43.037+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_dag' AIRFLOW_CTX_TASK_ID='add_payloads_to_table' AIRFLOW_CTX_EXECUTION_DATE='2025-03-27T12:23:03.217034+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-27T12:23:03.217034+00:00'
[2025-03-27T12:23:43.038+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-27T12:23:43.039+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-27T12:23:44.879+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.879+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.881+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.881+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.882+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.882+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.883+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.883+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.884+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.884+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.885+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.885+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.886+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.886+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.887+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.887+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.888+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.888+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.889+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.890+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.891+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.891+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.892+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.892+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.893+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.893+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.894+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.894+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.895+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.895+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.896+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.896+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.896+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.897+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.897+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.898+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.898+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.899+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.899+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.899+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.900+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.900+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.901+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.901+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.901+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.902+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.902+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.903+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.903+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.903+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.904+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.904+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.905+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.905+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.905+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.906+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.906+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.907+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.907+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.908+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.908+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.908+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.909+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.909+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.910+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.910+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.910+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.911+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.911+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.911+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.912+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.913+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.913+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.914+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.915+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.915+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.916+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
